id,ACTION
1,0.926930
2,0.979427
3,0.996673
4,0.995793
5,0.999295
6,0.997137
7,0.959611
8,0.999902
9,0.925426
10,0.972734
11,0.974701
12,0.978137
13,0.992158
14,0.802864
15,0.947064
16,0.959335
17,0.614355
18,0.813973
19,0.997897
20,0.996345
21,0.999197
22,0.993537
23,0.976575
24,0.980611
25,0.995024
26,0.943283
27,0.993309
28,0.985760
29,0.983189
30,0.916921
31,0.993177
32,0.983502
33,0.992666
34,0.995112
35,0.992069
36,0.986733
37,0.991893
38,0.999770
39,0.991007
40,0.965889
41,0.951401
42,0.992366
43,0.990582
44,0.994845
45,0.995443
46,0.987444
47,0.999097
48,0.984446
49,0.999942
50,0.998308
51,0.987774
52,0.994569
53,0.987177
54,0.997811
55,0.980486
56,0.993127
57,0.988903
58,0.999316
59,0.993825
60,0.991424
61,0.996158
62,0.998206
63,0.984942
64,0.997780
65,0.998668
66,0.991483
67,0.990539
68,0.999017
69,0.990325
70,0.727732
71,0.985265
72,0.988882
73,0.996604
74,0.998302
75,0.989834
76,0.998843
77,0.998053
78,0.967105
79,0.696289
80,0.998740
81,0.999575
82,0.996242
83,0.966897
84,0.996385
85,0.990466
86,0.959793
87,0.980210
88,0.998138
89,0.995277
90,0.858329
91,0.991989
92,0.793464
93,0.997594
94,0.987373
95,0.991420
96,0.998510
97,0.464005
98,0.998277
99,0.994025
100,0.997771
101,0.978631
102,0.347027
103,0.996280
104,0.989346
105,0.473348
106,0.996324
107,0.999184
108,0.977517
109,0.990696
110,0.983350
111,0.843630
112,0.978892
113,0.984219
114,0.999097
115,0.978431
116,0.973334
117,0.990179
118,0.955609
119,0.999268
120,0.988516
121,0.952282
122,0.990655
123,0.897564
124,0.997685
125,0.990719
126,0.839539
127,0.794818
128,0.954311
129,0.935201
130,0.995153
131,0.997495
132,0.998084
133,0.992279
134,0.909601
135,0.998915
136,0.965129
137,0.997345
138,0.936211
139,0.959882
140,0.998987
141,0.998418
142,0.971460
143,0.995213
144,0.995205
145,0.999579
146,0.704506
147,0.780890
148,0.820608
149,0.999206
150,0.987494
151,0.998334
152,0.856494
153,0.994963
154,0.960160
155,0.976131
156,0.968010
157,0.992726
158,0.992467
159,0.976617
160,0.971742
161,0.955868
162,0.996851
163,0.998571
164,0.977979
165,0.990791
166,0.999667
167,0.975644
168,0.992101
169,0.989225
170,0.996300
171,0.997586
172,0.993258
173,0.963487
174,0.995362
175,0.989987
176,0.999358
177,0.960294
178,0.995505
179,0.999494
180,0.925750
181,0.676824
182,0.987695
183,0.943780
184,0.918177
185,0.991143
186,0.973933
187,0.997940
188,0.987430
189,0.612109
190,0.992576
191,0.999574
192,0.996435
193,0.997732
194,0.995484
195,0.968964
196,0.997501
197,0.991615
198,0.976937
199,0.993892
200,0.882885
201,0.996194
202,0.988812
203,0.957635
204,0.993526
205,0.999002
206,0.989428
207,0.995358
208,0.987423
209,0.664453
210,0.770490
211,0.957174
212,0.991919
213,0.998394
214,0.982570
215,0.992071
216,0.911197
217,0.952667
218,0.995780
219,0.996100
220,0.977512
221,0.441301
222,0.999416
223,0.999485
224,0.992546
225,0.959336
226,0.786131
227,0.972740
228,0.990666
229,0.998775
230,0.995467
231,0.983405
232,0.958790
233,0.967446
234,0.117840
235,0.907606
236,0.965186
237,0.969638
238,0.984320
239,0.913222
240,0.998469
241,0.983169
242,0.752643
243,0.481561
244,0.991950
245,0.986958
246,0.999285
247,0.983630
248,0.984315
249,0.988341
250,0.997718
251,0.996615
252,0.964040
253,0.998617
254,0.999140
255,0.999107
256,0.976879
257,0.985739
258,0.943076
259,0.989638
260,0.998723
261,0.993224
262,0.969363
263,0.996017
264,0.998323
265,0.998001
266,0.991429
267,0.981564
268,0.997591
269,0.985074
270,0.995617
271,0.995535
272,0.972983
273,0.995431
274,0.613205
275,0.998328
276,0.938977
277,0.997270
278,0.999085
279,0.986969
280,0.946086
281,0.999629
282,0.998999
283,0.957465
284,0.952239
285,0.997753
286,0.992092
287,0.999564
288,0.996800
289,0.994067
290,0.995454
291,0.651738
292,0.912238
293,0.992194
294,0.986559
295,0.993481
296,0.439228
297,0.691041
298,0.979884
299,0.883646
300,0.996901
301,0.832695
302,0.997342
303,0.564687
304,0.906016
305,0.994190
306,0.995201
307,0.981849
308,0.999554
309,0.938286
310,0.982888
311,0.998689
312,0.996716
313,0.995003
314,0.998827
315,0.999283
316,0.996231
317,0.963407
318,0.996710
319,0.740113
320,0.998820
321,0.996389
322,0.414429
323,0.999689
324,0.992363
325,0.964619
326,0.922459
327,0.995760
328,0.998905
329,0.997571
330,0.994803
331,0.995786
332,0.971153
333,0.993665
334,0.934185
335,0.993526
336,0.982431
337,0.988661
338,0.993748
339,0.990876
340,0.994542
341,0.998837
342,0.989614
343,0.981347
344,0.999494
345,0.999091
346,0.997356
347,0.989126
348,0.984344
349,0.998008
350,0.958404
351,0.974508
352,0.999689
353,0.985050
354,0.884699
355,0.983963
356,0.996943
357,0.994053
358,0.996113
359,0.973297
360,0.545835
361,0.960005
362,0.983877
363,0.975720
364,0.917302
365,0.999439
366,0.999425
367,0.993780
368,0.999006
369,0.992226
370,0.997594
371,0.986523
372,0.995147
373,0.797393
374,0.279869
375,0.955640
376,0.993166
377,0.688768
378,0.991691
379,0.997760
380,0.910854
381,0.859243
382,0.984938
383,0.999698
384,0.991816
385,0.991353
386,0.984448
387,0.848767
388,0.981758
389,0.992767
390,0.993764
391,0.913933
392,0.997618
393,0.948482
394,0.991605
395,0.977254
396,0.991778
397,0.999659
398,0.983967
399,0.996296
400,0.996049
401,0.996808
402,0.993374
403,0.983764
404,0.973850
405,0.998766
406,0.989777
407,0.930108
408,0.994948
409,0.970014
410,0.997960
411,0.997913
412,0.961065
413,0.863585
414,0.996651
415,0.988803
416,0.938042
417,0.989505
418,0.993730
419,0.993966
420,0.992648
421,0.998946
422,0.990559
423,0.958754
424,0.844933
425,0.995560
426,0.973984
427,0.997216
428,0.992951
429,0.961307
430,0.999298
431,0.987604
432,0.990189
433,0.986928
434,0.983486
435,0.993490
436,0.999569
437,0.996216
438,0.179125
439,0.977135
440,0.456419
441,0.992808
442,0.999825
443,0.996391
444,0.995282
445,0.956580
446,0.997959
447,0.891520
448,0.996041
449,0.988593
450,0.983047
451,0.929587
452,0.990562
453,0.997989
454,0.953582
455,0.992983
456,0.993235
457,0.998691
458,0.997814
459,0.996905
460,0.723760
461,0.929916
462,0.998952
463,0.993983
464,0.993749
465,0.983346
466,0.997924
467,0.376777
468,0.982076
469,0.991661
470,0.992373
471,0.993953
472,0.994365
473,0.998263
474,0.995362
475,0.970867
476,0.992305
477,0.996783
478,0.993124
479,0.996863
480,0.998082
481,0.998793
482,0.982840
483,0.999167
484,0.979106
485,0.980163
486,0.929009
487,0.983943
488,0.993733
489,0.994520
490,0.981869
491,0.995042
492,0.987286
493,0.977449
494,0.993888
495,0.992799
496,0.993252
497,0.998241
498,0.998384
499,0.998537
500,0.977634
501,0.986190
502,0.943585
503,0.980948
504,0.985302
505,0.980346
506,0.998268
507,0.996826
508,0.976726
509,0.986073
510,0.410997
511,0.974123
512,0.988621
513,0.997364
514,0.722294
515,0.990426
516,0.990526
517,0.998878
518,0.929154
519,0.964596
520,0.948121
521,0.998283
522,0.996028
523,0.993620
524,0.256770
525,0.534812
526,0.465608
527,0.995066
528,0.991648
529,0.979465
530,0.998950
531,0.931361
532,0.984501
533,0.992932
534,0.974808
535,0.991573
536,0.987838
537,0.999444
538,0.988855
